序号,题目,A,B,C,D,答案,类型
1,举重时运动员为什么搓白粉？,使手变的粗糙,吸取手上的汗,刺激肌肉,保护皮肤,B,体育
2,非洲国家边界按什么划分的最多？,直线或曲线的几何方法,经线或纬线,河流、山脉等自然地貌,民族,B,地理
3,举重比赛的级别是按：,按杠铃重量划分,按体重划分,按年龄划分,按性别划分,B,体育
3,一站到底51453道题库地址是哪里？,www.52yzdd.com,,,,A,常识
4,问仓储超市与其它超市最大的不同点是什么：,铺房简陋,储售场地合一,随进随卖,需要库房,B,常识
5,18世纪德国贵族热衷于收集并定制各种树木做的“木头书”，以木头做成的盒子，盒面用树皮制作，你知道盒子里面都用来装什么？,书籍,与情人来往的信件,首饰,树叶、果实等,D,地理
6,鸵鸟受到惊吓或敌害时可能会：,把头埋进沙子里,将脖子平贴地面，紧缩身体,把全身都埋进沙子里,会将头低垂到与地面平行，羽毛竖起,D,自然
7,最早制造香水瓶所用的原料是：,陶瓷,玻璃,石膏,铜瓶,C,常识
8,持有哪种“伤残证书”，可在乘坐火车时享受购票减价待遇？,革命伤残军人证,公安人员残废证,革命工作人员残废证,参战民兵残废证,A,常识
9,最早的四冲程内燃机用的是什么燃料？,酒精,煤气,汽油,柴油,B,物理
10,下面哪一种熨烫衣服的方法是不正确的？,熨之前在衣服上喷一些水,尽可能长时间地熨,掌握合适的温度,在衣服和熨斗之间垫一块湿布,B,常识
11,一站到底51453道题库地址是哪里？,www.52yzdd.com,,,,A,常识
11,冻疮是由于皮肤哪一部分受损而引起的？,毛囊,汗腺,竖毛肌,毛细血管,D,自然
13,世界上最大的宫殿是：,故宫,白宫,爱丽舍宫,克里姆林宫,A,地理
14,我国曲艺中的相声是：,北方曲种,南方曲种,,,A,常识
15,世界上最靠北的首都是：,斯德哥尔摩,莫斯科,雷克亚未克,哥本哈根,C,地理
16,反映波兰作曲家肖邦生平的美国影片是：,《翠堤春晓》,《一曲难忘》,《音乐之声》,《雨中曲》,B,文学
17,除法律另有规定或合同另有约定外，保险合同成立后，谁有权解除合同？,投保人,保险人,被保险人,受益人,A,政治
18,国际奥委会为感谢萨马兰奇对奥林匹克运动的贡献，发行了一枚名为《感谢主席先生》的： ,邮票,邮折,纪念封,纪念币,C,政治
19,古代女子成年行什么礼？,冠礼,笄礼,,,B,历史
20,给折枝山茶花保鲜应该用什么？,淡盐水,醋酸,硼酸,稀盐酸,A,化学
21,樟脑丸的主要成分是：,樟脑,对二苯,萘,二氯苯,C,化学
,,,,,,,
23,声音在哪里传播更快？,空气中,水中,,,B,物理
24,农历把每月初一叫做什么日？,朔日,望日,,,A,常识
25,铁锅通常用哪种铁制成？,生铁,熟铁,,,A,物理
26,消防队救火：,收费,不收费,收取部分费用,,B,常识
27,文学史上魔幻现实主义流派的代表人物是：,卡夫卡,扎米亚京,马尔克斯,拉尔斯·吉伦斯坦,C,文学
28,戛纳电影节在哪国举办？,法国,意大利,英国,德国,A,文学
29,烤全羊烤的是：,山羊,羚羊,绵羊,黄羊,C,常识
,,,,,,,
29,一站到底51453道题库地址是哪里？,www.52yzdd.com,,,,A,常识
30,哪种病人不宜饮茶？,心血管疾病,急性胃肠炎,溃疡病,肾衰竭,C,化学
31,音乐界所说的大小施特劳斯：,是父子关系,不是父子关系,,,A,音乐
32,仰韶文化是我国历史上哪个时代中期的文化？,旧石器,新石器,青铜器,铁器,B,历史
33,刮痧是我国民间传统的简易治疗方法，对吗？,对,不对,,,A,常识
34,小儿生长发育最快的时期是：,围产期,新生儿期,婴儿期,幼儿期,C,常识
35,感光胶片中的全色片是一种：,黑白感光片,彩色感光片,,,A,物理
36,传统彩瓷“素三彩”之所以称“素”是因不用：,绿色,黄色,红色,黑色,C,常识
37,“龙井茶叶，虎跑水”。虎跑泉的水很有趣，装满一杯水后，轻轻地放进一粒小石子，水就会高出杯面，可是它却不溢出来，好象覆盖着一个无形的杯盖。泉水为什么不溢出来？ ,泉水比纯水的表面张力大,泉水比纯水的表面张力小,,,A,物理
38,蒙古首都乌兰巴托的意思是：,繁荣的城市,红色英雄,没有水的城市,苏联联邦,B,地理
39,债券与股票的区别是什么？,债券风险小、收益稳定、股票风险大、收益高,债券持有的时间长，股票持有的时间短,,,A,常识
40,火腿中有“南腿”之称的是：,苏北火腿,金华火腿,榕峰火腿,宣威火腿,B,常识
,,,,,,,
42,“六一居士”是谁的别号？,欧阳修,唐伯虎,柳亚子,苏曼殊,A,文学
43,“隔着门缝看人”时，看到的人：,比原来扁了,和原来一样,,,B,常识
44,影响电视图象的主要污染因素是,大气污染,噪声污染,电磁辐射污染,灰尘污染,C,地理
45,一个细胞一小时分裂三个，9小时可以把一个容器装满，多少时间使分裂的细胞装到容器的1/9。,5小时,6小时,7小时,8小时,C,常识
46,一般来说，在发生通货膨胀时，靠固定工资生活的人：,生活水平会下降,生活水平会提高,,,A,政治
